,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
149,Sonoma,097,06097154302,840,152,924,156,21,161,21,24,25,23,0,12,136,72,0.025,0.17424242424242425,1,0
150,Sonoma,097,06097153902,1170,121,1062,132,222,300,42,52,107,74,180,88,193,93,0.18974358974358974,0.2824858757062147,1,0
151,Sonoma,097,06097150303,1132,179,1244,167,72,62,0,12,17,28,72,77,45,69,0.0636042402826855,0.04983922829581994,1,1
152,Sonoma,097,06097150304,1436,150,1570,175,283,257,143,112,79,77,140,105,178,104,0.19707520891364902,0.16369426751592356,0,0
153,Sonoma,097,06097150601,1147,103,1039,107,192,188,73,61,68,66,119,76,120,52,0.16739319965126417,0.1809432146294514,0,0
154,Sonoma,097,06097151203,1229,123,1148,105,206,195,46,30,82,59,160,75,113,60,0.1676159479251424,0.16986062717770034,0,0
155,Sonoma,097,06097151401,1734,159,1515,170,295,337,67,68,118,90,228,122,219,127,0.1701268742791234,0.22244224422442244,1,0
156,Sonoma,097,06097150901,1255,168,1149,157,170,278,18,29,99,82,152,76,179,86,0.13545816733067728,0.24194952132288947,1,0
157,Sonoma,097,06097151201,1744,246,1733,217,301,353,73,64,133,106,228,165,220,123,0.17259174311926606,0.20369301788805538,0,0
158,Sonoma,097,06097151308,1094,142,1081,149,218,108,179,122,61,66,39,52,47,43,0.19926873857404023,0.09990749306197964,1,1
159,Sonoma,097,06097151309,1368,95,1239,132,156,193,39,34,37,45,117,61,156,84,0.11403508771929824,0.15577078288942695,0,1
160,Sonoma,097,06097152502,763,113,871,112,77,177,0,12,117,72,77,61,60,42,0.10091743119266056,0.20321469575200918,1,0
161,Sonoma,097,06097150202,1220,173,1507,178,101,67,22,33,13,22,79,78,54,51,0.08278688524590164,0.04445919044459191,1,1
162,Sonoma,097,06097150800,1240,91,1276,113,140,165,110,65,54,65,30,26,111,78,0.11290322580645161,0.12931034482758622,0,1
163,Sonoma,097,06097151503,1055,77,1067,79,51,15,8,11,7,11,43,48,8,13,0.04834123222748815,0.014058106841611996,1,1
164,Sonoma,097,06097151700,1705,201,1665,205,246,355,45,44,81,71,201,100,274,144,0.14428152492668622,0.2132132132132132,0,0
165,Sonoma,097,06097151800,1201,157,1359,154,92,195,0,17,0,17,92,58,195,83,0.07660283097418817,0.1434878587196468,1,1
166,Sonoma,097,06097152702,1306,138,1245,134,304,275,90,70,63,55,214,101,212,80,0.2327718223583461,0.22088353413654618,0,0
167,Sonoma,097,06097151204,783,101,829,104,68,143,36,31,8,13,32,27,135,84,0.08684546615581099,0.17249698431845598,0,1
168,Sonoma,097,06097153401,1595,164,1595,193,298,297,107,88,108,85,191,98,189,95,0.18683385579937303,0.18620689655172415,0,0
169,Sonoma,097,06097152903,1192,108,1184,112,327,226,114,75,105,72,213,76,121,75,0.27432885906040266,0.19087837837837837,0,0
170,Sonoma,097,06097153001,1354,227,1314,152,324,332,97,76,159,114,227,131,173,97,0.23929098966026588,0.2526636225266362,0,0
171,Sonoma,097,06097153006,2003,191,1541,168,395,293,54,80,114,68,341,127,179,91,0.19720419370943584,0.1901362751460091,1,0
172,Alameda,001,06001400700,910,118,852,141,138,238,42,30,3,9,96,76,235,104,0.15164835164835164,0.2793427230046948,0,1
173,Alameda,001,06001402700,380,65,211,57,81,64,27,29,0,12,54,34,64,38,0.2131578947368421,0.3033175355450237,1,1
174,Alameda,001,06001402900,193,37,210,58,46,16,5,8,4,9,41,33,12,13,0.23834196891191708,0.0761904761904762,1,1
175,Alameda,001,06001403400,837,158,646,159,135,41,46,69,15,24,89,70,26,40,0.16129032258064516,0.06346749226006192,1,1
176,Alameda,001,06001404600,1309,84,1311,107,109,22,28,24,12,19,81,51,10,17,0.08326967150496563,0.016781083142639208,0,1
177,Alameda,001,06001406201,876,113,865,114,365,274,123,77,70,48,242,101,204,87,0.4166666666666667,0.31676300578034683,0,0
178,Alameda,001,06001406800,854,90,871,130,112,173,21,27,61,55,91,54,112,71,0.13114754098360656,0.19862227324913892,1,0
179,Alameda,001,06001407800,480,66,376,61,67,60,33,35,5,7,34,29,55,23,0.13958333333333334,0.1595744680851064,1,1
180,Alameda,001,06001408000,636,65,673,57,49,30,30,34,22,20,19,16,8,13,0.0770440251572327,0.04457652303120357,1,1
181,Alameda,001,06001420500,682,66,559,66,103,119,12,12,33,26,91,39,86,46,0.15102639296187684,0.21288014311270126,0,0
182,Alameda,001,06001408200,1012,145,816,142,381,241,134,76,23,20,247,102,218,90,0.37648221343873517,0.29534313725490197,0,0
183,Alameda,001,06001409900,1048,105,836,126,62,93,27,42,41,43,35,31,52,43,0.05916030534351145,0.11124401913875598,1,1
184,Alameda,001,06001420200,881,97,772,90,236,140,29,35,17,18,207,66,123,50,0.26787741203178206,0.18134715025906736,1,1
185,Alameda,001,06001421600,1045,99,931,131,66,42,16,20,8,13,50,41,34,28,0.06315789473684211,0.045112781954887216,1,1
186,Alameda,001,06001421900,1032,111,854,121,134,126,0,12,56,51,134,65,70,41,0.1298449612403101,0.14754098360655737,1,0
187,Alameda,001,06001422200,724,96,653,130,98,69,45,29,13,22,53,41,56,59,0.13535911602209943,0.10566615620214395,0,1
188,Alameda,001,06001435700,1101,102,1173,92,147,147,71,62,29,46,76,70,118,58,0.1335149863760218,0.12531969309462915,0,1
189,Alameda,001,06001436100,1419,105,1163,125,188,153,64,46,18,21,124,68,135,70,0.1324876673713883,0.13155631986242478,0,1
190,Alameda,001,06001440200,1364,77,1249,95,167,285,39,29,76,54,128,64,209,88,0.12243401759530792,0.22818254603682947,0,0
191,Alameda,001,06001440308,1454,119,1307,123,113,167,11,16,11,16,102,54,156,79,0.07771664374140302,0.12777352716143842,1,1
