"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"71","06001406700","06","001","406700",4969,4969,4947,4947,2130,538,4782,829,668,385,490,414,1042,643,749,305,0.0774803783457436,0.134433487623264,0.910780669144981,0.0865746549560853,0.210632706690924,0.129977764301597,0.143192488262911,0.903498190591074,0,0,1,0,0,0,1,1,3,0
"72","06001406800","06","001","406800",3483,3483,3477,3477,1368,442,3270,449,500,159,491,467,693,266,297,55,0.045650301464255,0.143554407120299,1.11085972850679,0.142813455657492,0.199309749784297,0.0765027322404372,0.0402046783625731,0.661469933184855,0,0,1,0,0,0,0,1,2,0
"73","06001406900","06","001","406900",3989,3989,3970,3989,1528,473,3645,757,554,126,562,475,1035,297,652,56,0.0315868638756581,0.13888192529456,1.18816067653277,0.130315500685871,0.260705289672544,0.0744547505640511,0.0366492146596859,0.861294583883752,0,0,1,0,0,0,0,1,2,0
"74","06001407000","06","001","407000",5902,5902,5772,5772,1953,801,5704,1084,1784,258,1023,2071,3199,694,589,390,0.0437139952558455,0.302270416807862,1.27715355805243,0.363078541374474,0.554227304227304,0.12023562023562,0.199692780337942,0.543357933579336,0,0,1,0,1,1,1,1,5,1
"75","06001407101","06","001","407101",3538,3538,3538,3538,1020,349,3344,661,1680,146,343,1093,1611,437,518,121,0.0412662521198417,0.474844544940644,0.982808022922636,0.326854066985646,0.455342001130582,0.12351611079706,0.118627450980392,0.783661119515885,0,0,1,0,1,1,1,1,5,1
"76","06001407102","06","001","407102",4296,4296,4279,4280,1288,554,3961,677,2049,74,655,1511,1545,653,496,135,0.0172253258845438,0.47695530726257,1.18231046931408,0.381469325927796,0.36106566954896,0.152570093457944,0.104813664596273,0.732644017725258,0,0,1,0,1,1,1,1,5,1
"77","06001407200","06","001","407200",6616,6616,6556,6556,1801,904,6191,1426,4550,369,1163,2971,4157,939,993,386,0.0557738814993954,0.687726723095526,1.28650442477876,0.479890163140042,0.634075655887736,0.143227577791336,0.214325374791782,0.696353436185133,0,0,1,0,1,1,1,1,5,1
"78","06001407300","06","001","407300",2501,2501,2472,2501,744,227,2385,530,1342,50,229,937,1398,213,296,93,0.0199920031987205,0.536585365853659,1.00881057268722,0.392872117400419,0.565533980582524,0.0851659336265494,0.125,0.558490566037736,0,0,1,0,1,1,1,1,5,1
"79","06001407400","06","001","407400",4452,4452,4452,4452,1147,636,4076,826,2966,82,855,1771,2484,570,640,191,0.018418688230009,0.666217430368374,1.34433962264151,0.434494602551521,0.557951482479784,0.128032345013477,0.166521360069747,0.774818401937046,0,0,1,0,1,1,1,1,5,1
"80","06001407500","06","001","407500",4201,4201,4139,4139,1279,606,3778,924,2054,165,824,1254,2953,583,571,247,0.0392763627707689,0.488931206855511,1.35973597359736,0.331921651667549,0.713457356849481,0.140855279052911,0.193119624706802,0.617965367965368,0,0,1,0,1,1,1,1,5,1
"81","06001407600","06","001","407600",6398,6398,6381,6393,2186,802,5812,996,1815,116,959,1391,2667,726,755,296,0.0181306658330728,0.283682400750234,1.19576059850374,0.239332415691672,0.417959567465914,0.113561708118254,0.135407136322049,0.758032128514056,0,0,1,0,1,1,1,1,5,1
"82","06001407700","06","001","407700",4323,4323,4271,4318,1646,547,3986,505,548,293,616,113,1217,650,282,115,0.0677770067083044,0.12676382142031,1.12614259597806,0.0283492222779729,0.284944977756966,0.150532654006484,0.0698663426488457,0.558415841584158,0,0,1,0,0,0,0,1,2,0
"83","06001407800","06","001","407800",2719,2719,1869,2719,759,202,2652,253,448,71,252,176,416,278,216,50,0.0261125413755057,0.164766458256712,1.24752475247525,0.0663650075414781,0.222578919208133,0.102243471864656,0.0658761528326746,0.853754940711462,0,0,1,0,0,0,0,1,2,0
"84","06001407900","06","001","407900",3077,3077,3072,3072,1113,427,2852,268,379,163,508,404,443,252,183,9,0.0529736756581085,0.123171920701982,1.18969555035129,0.141654978962132,0.144205729166667,0.08203125,0.00808625336927224,0.682835820895522,0,0,1,0,0,0,0,1,2,0
