GEOID,STATE,COUNTY_FIPS,TRACT,TOT_POP_MIN,TOT_POP_SEN,TOT_POP_POV,TOT_POP_CIV_NI,TOT_HH,TOT_FAM,TOT_POP_OVER5,POP_MINORITY,POP_OVER75,POP_SPFAM,POP_LEP,POP_BELOW200,POP_DISABILITY,POP_HUS_RENT50,POP_ZVHHS,PCT_OVER75,PCT_MINORITY,PCT_SPFAM,PCT_LEP,PCT_BELOW200,PCT_DISAB,PCT_ZVHHS,PCT_HUS_RENT50,OVER75_HALFSD,MINORITY_HALFSD,SPFAM_HALFSD,DISAB_HALFSD,LEP_HALFSD,BELOW200_HALFSD,ZVHH_HALFSD,HUS_RENT50_HALFSD,Count_DisadFact_HALFSD,COC_FLAG_2018,COC_CLASS
6001406100,6,1,406100,4835,4835,4810,4835,1496,846,4513,4143,72,255,863,2147,432,357,281,0.014891417,0.856876939,0.30141844,0.191225349,0.446361746,0.089348501,0.187834225,0.238636364,0,1,1,0,1,1,1,1,4,1,Higher
6001406201,6,1,406201,4296,4296,4190,4247,1352,905,3934,3968,128,323,728,2434,510,394,351,0.029795158,0.923649907,0.356906077,0.185053381,0.580906921,0.120084766,0.259615385,0.291420118,0,1,1,1,1,1,1,1,5,1,High
6001406202,6,1,406202,4674,4674,4479,4479,1305,914,4269,4234,194,341,1562,2958,528,386,257,0.041506205,0.905862217,0.373085339,0.365893652,0.660415271,0.117883456,0.196934866,0.295785441,0,1,1,0,1,1,1,1,4,1,Highest
6001406300,6,1,406300,4148,4148,4148,4148,1203,903,3844,3704,145,266,953,2114,471,173,208,0.034956606,0.892960463,0.294573643,0.247918835,0.509643202,0.113548698,0.172901081,0.143807149,0,1,1,0,1,1,1,0,3,1,High
6001406400,6,1,406400,2218,2218,2104,2104,716,466,2125,1605,316,96,268,780,494,203,137,0.142470694,0.723624887,0.206008584,0.126117647,0.370722433,0.234790875,0.191340782,0.283519553,1,1,1,1,1,1,1,1,6,1,High
6001406500,6,1,406500,6574,6574,6456,6574,2018,1404,6165,6061,183,395,1515,3509,669,474,372,0.027836933,0.921965318,0.281339031,0.245742092,0.543525403,0.101764527,0.184340932,0.234886026,0,1,1,0,1,1,1,1,4,1,Highest
6001406601,6,1,406601,4835,4835,4835,4835,1679,1155,4537,4308,353,331,810,1960,780,309,271,0.073009307,0.891003102,0.286580087,0.17853207,0.405377456,0.161323681,0.161405599,0.184038118,0,1,1,1,1,1,1,1,5,1,Higher
6001406602,6,1,406602,2767,2767,2767,2767,959,553,2500,2285,65,107,424,1377,334,177,120,0.023491146,0.82580412,0.193490054,0.1696,0.497650885,0.120708348,0.125130344,0.184567258,0,1,0,1,1,1,1,1,4,1,High
6001406700,6,1,406700,4969,4969,4947,4947,2130,1164,4782,2354,385,140,327,1042,643,80,305,0.077480378,0.47373717,0.120274914,0.06838143,0.210632707,0.129977764,0.143192488,0.037558685,0,0,0,1,0,0,1,0,2,0,NA
6001406800,6,1,406800,3483,3483,3477,3477,1368,857,3270,2026,159,137,306,693,266,152,55,0.045650301,0.581682458,0.159859977,0.093577982,0.19930975,0.076502732,0.040204678,0.111111111,0,0,0,0,0,0,0,0,0,0,NA
6001406900,6,1,406900,3989,3989,3970,3989,1528,979,3645,2537,126,173,241,1035,297,105,56,0.031586864,0.635998997,0.17671093,0.06611797,0.26070529,0.074454751,0.036649215,0.068717277,0,0,0,0,0,0,0,0,0,0,NA
6001407000,6,1,407000,5902,5902,5772,5772,1953,1380,5704,5134,258,306,1454,3199,694,495,390,0.043713995,0.869874619,0.22173913,0.254908836,0.554227304,0.12023562,0.19969278,0.253456221,0,1,1,1,1,1,1,1,5,1,High
6001407101,6,1,407101,3538,3538,3538,3538,1020,732,3344,3191,146,60,727,1611,437,143,121,0.041266252,0.90192199,0.081967213,0.217404306,0.455342001,0.123516111,0.118627451,0.140196078,0,1,0,1,1,1,1,0,3,1,Higher
6001407102,6,1,407102,4296,4296,4279,4280,1288,942,3961,3883,74,193,899,1545,653,181,135,0.017225326,0.90386406,0.204883227,0.226962888,0.36106567,0.152570093,0.104813665,0.14052795,0,1,1,1,1,1,1,0,4,1,High
